  0.520 -57
  0.869 -179
  0.768 -200
  0.784 -300
 6.872 241
 5.126 308
 7.196 463
 3.864 207
 2.968 291
 3.686 -34
 9.464 727
 5.367 408
 6.498 513
 10.853 1137
 7.762 484
 13.520 816
 7.300 448
 14.732 1066
 15.243 729
 15.816 981
 16.560 1284
 16.554 1110
 83.48 8550 
  61.09 5160
  59.16 5880
  74.13 8190
 89.13 7950 
 92.04 9180 
  45.92 4890
  94.19 9150
  73.45 7350
  70.47 7200
  84.33 7800
  74.82 7290
  66.68 6600
 96.38 8250 
  49.89 5010
  45.08 4890
  70.47 6540
  48.98 4920
  74.13 6960
  69.18 5790
  52.72 5280
  99.54 9450
  77.27 7050
  45.29 5010
  53.70 5100
  74.13 8370
 127.64 5160
  111.69 900
 52.72 4980 
  109.14 927
  48.75 4800
 50.58 5190 
  95.06 9360
 67.92 6630 
 41.50 4800 
  64.86 7470
  95.50 9090
  90.36 8490
  80.54 7440
  112.72 876
  54.95 4890
  72.78 5610
  63.97 5850
  97.72 7680
  77.27 7200
